Description,Reference
"Motor cable 3 m (9.84 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R30
"Motor cable 5 m (16.4 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R50
"Motor cable 10 m (32.8 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R100
"Motor cable 15 m (49.2 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R150
"Motor cable 20 m (65.6 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R200
"Motor cable 25 m (82 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R250
"Motor cable 50 m (164 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R500
"Motor cable 75 m (246 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; motor end 8-pin circular connector M40, othercable end open",VW3M5105R750
"Motor cable 25 m (82 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; both cable ends open",VW3M5305R250
"Motor cable 50 m (164 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; both cable ends open",VW3M5305R500
"Motor cable 100 m (328 ft), (4 x 6 mm2 + (2 x 1 mm2)) shielded; both cable ends open",VW3M5305R1000
